source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,Las chicas del “Enrique y Novas” fuera del Campeonato de España a pesar de su contundente 11-1 de su segundo partido - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9178,2025-06-02,23,"Por otra parte, este fin de semana se jugaron las finales de Copa Federación de Primera Futsal base en O Sequelo y en A Raña, de todas las categorías, organizadas por el Marín Futsal. El benjamínTecnopesca Marínse proclamócampeónal derrotar por 5-2 a la ED Poio Pescamar, y el juvenil fuesubcampeón, al ceder frente al ADFS Bueu.",2025-06,2025
Carriola de Marín,"“Vagalume” y “Papanatas” vencedores, tras dos etapas,  en la “Aguete Cruising Sail” de cruceros - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9174,2025-06-02,17,"El Vagalume lo hizo por partida doble en Orc y A Dos, mientras que Papanatas lo fue en Veteranoscon poco viento en esta última prueba celebrada el sábado",2025-06,2025
Carriola de Marín,Fallece la joven ANA LÓPEZ BESADA “Hija de El Maño” a los 34 años de edad - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9032,2025-05-06,5988,"La funeraria SAN MARCOS comunica el fallecimiento hoy día6de mayo de la jovenANA LÓPEZ BESADA, hija de José Manuel y Carmen, (Carnicería El Maño”)cuyos restos mortales permanecerán en el Tanatorio SAN MARCOS, de Marín, sala número2hasta el momento de su traslado,MAÑANA MIÉRCOLESdía7de mayo a lasDIEZde la mañana al crematorio Terras de Pontevedra para su incineración en la intimidad familiar. El velatorio abriráesta tarde a las seis",2025-05,2025
Carriola de Marín,La empresa “Tecnopesca” llora el fallecimiento de su fundador e inspirador Pascual Otero - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9020,2025-05-04,4274,"Esta mañana nos desayunamos con un triste comunicado de la empresa “Tecnopesca” que anuncia el fallecimiento de su fundador Pascual Otero, afectado por una fulminante enfermedad que que acabó con su vida en poco tiempo.",2025-05,2025
Carriola de Marín,Un año y medio en el olvido esperando por una ayuda de la XUNTA que no llega - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9002,2025-05-04,2709,Erundina Pazos solicitó formalmente y por escrito en 2023 un Bono que debería haberse concedido como máximo seis meses después de la petición si se cumplen los requisitos como parece que es en este caso,2025-05,2025
Carriola de Marín,"No adeus de Katsumi: un pai, un amigo...un home bo  - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9041,2025-05-07,2659,"Hoxe tócame escribir co corazón na man, cun nó na gorxa e a emoción aínda á flor de pel, porque un amigo de toda unha vida marchou.Katsumi Yamaguchi, ""Yama"", como con tanto agarimo o chamabamos, emprendeu a súa última viaxe.",2025-05,2025
Carriola de Marín,El “Mejor tirador de cerveza de Galicia” es el joven marinense Xabier Troitiño Martínez según “Estrella de Galicia” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9051,2025-05-09,2297,"La cerveza es una de las delicias de esta vida  a decir y hacer de muchísimos aficionados a su consumo y no les falta razón pero hay que saber beberla y, sobre todo, lo más importante, también “tirarla” que es un arte que reconoce el prestigio del “tirador”",2025-05,2025
Carriola de Marín,"Fallece el sacerdote Don Manuel Otero González que fue, durante varios años, coadjutor en la parroquia de Marín - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9025,2025-05-05,2228,"Con 91 de edad falleció el sacerdote muy apreciado en Marín DonManuel Otero Gonzálezque fue coadjutor durante varios años en la principal parroquia marinensecompartiendo labor pastoral con el siempre recordado Ángel Saavedra Meijomide, realizando una encomiable labor en la atención a los feligreses tanto de Marín centro como de su entorno pues colaboraba frecuentemente con las demás parroquias del municipio y la comarca no en vano es de recordar sus presencia casi indispensable en las fiestas patronales de San Xulián, Los Remedios y, en especial, en las de",2025-05,2025
Carriola de Marín,Adjudicados los puestos de kiosko en las playas y el local ubicado en la punta del Paseo Antonio Blanco Solla - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9082,2025-05-14,2135,El local de hostelería ubicado en el extremo del Paseo Marítimo Antonio Blanco ha sido adjudicado a la propuesta de Asunción Méndez por un canon mensual de 690 euros a pesar de que había oras cuatro ofertas de mayor cuantía cuyos autores prefirieron renuniciar al servicio.,2025-05,2025
Carriola de Marín,"Fallece Sor MATILDE GAUNA, Hija de la Caridad de la comunidad marinense del Colegio Inmaculada - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/9115,2025-05-21,2009,"Al borde de la medianoche recibimos la triste noticia del fallecimiento de una de las Hijas de la  Caridad, Sor Matilde Gauna,  perteneciente a la comunidad religiosa de San Vicente de Paúl que rige el Colegio Inmaculada de Marín desde donde nos llega también el siguiente escrito en su memoria:",2025-05,2025
