source,date,link,n_comments,title,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes
Diario de Pontevedra,2025-06-01T14:54:28.724120,https://www.diariodepontevedra.es/articulo/pontevedra/miguel-oscar-lucia-iago-martin-expedientes-quitarse-sombrero/202412211221101368442.html,0,"Miguel, Óscar, Lucía, Iago y Martín: cinco expedientes para quitarse el sombrero",,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T14:55:08.942514,https://www.diariodepontevedra.es/articulo/o-morrazo/leonor-despide-viernes-marin-enero-embarcara-juan-sebastian-elcano/202412201735071368387.html,0,Leonor se despide este viernes de Marín: en enero embarcará en el Juan Sebastián Elcano,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T14:55:20.481209,https://www.diariodepontevedra.es/articulo/comarca-pontevedra/repunte-robos-viviendas-poio-denuncias-ultimos-dias/202412201426501368360.html,0,"Incremento de robos en viviendas en Poio, con cuatro denuncias en los últimos días",,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T14:55:35.378595,https://www.diariodepontevedra.es/articulo/o-morrazo/marinenses-involucran-mas-necesitados/202412192146331368293.html,0,Los marinenses se involucran con los más necesitados,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T14:56:37.263267,https://www.diariodepontevedra.es/articulo/o-morrazo/boton-ancla-donara-juguetes-gala-anual-afectados-dana/202412180909301334101.html,0,Botón de Ancla donará los juguetes de su gala anual a los afectados por la Dana,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T14:57:21.176356,https://www.diariodepontevedra.es/articulo/o-morrazo/auditorio-marin-estara-listo-puesta-marcha-verano-2025/202412172151131334099.html,0,El Auditorio de Marín estará listo para su puesta en marcha en verano de 2025,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T14:58:03.262181,https://www.diariodepontevedra.es/articulo/o-morrazo/meses-princesa-leonor-escuela-naval-militar/202412150912261333710.html,0,Adiós a Marín: los cuatro meses de la princesa Leonor en la Escuela Naval Militar,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T14:59:16.430853,https://www.diariodepontevedra.es/articulo/deporte-local-pontevedra/2-marin-futsal-vuelve-senda-triunfo-derrotar-colista-sufrimiento/202412142153101333711.html,0,2-0. El Marín Futsal vuelve a la senda del triunfo al derrotar al colista con sufrimiento,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T14:59:57.668468,https://www.diariodepontevedra.es/articulo/o-morrazo/marin-asfaltara-calles-ponte-busto-abaixo-doutor-tourino/202412142040441333707.html,0,"Marín asfaltará las calles de A Ponte, Busto de Abaixo e Doutor Touriño",,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,2025-06-01T15:01:39.935290,https://www.diariodepontevedra.es/articulo/o-morrazo/darsena-portuaria-marin-inicia-recuperacion-medioambiental/202412141543101333673.html,0,La dársena portuaria de Marín inicia su recuperación medioambiental,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
