source,title,link,date,n_comments,comment_1_author,comment_1_location,comment_1_date,comment_1_text,comment_1_likes,comment_1_dislikes,comment_2_author,comment_2_location,comment_2_date,comment_2_text,comment_2_likes,comment_2_dislikes,comment_3_author,comment_3_location,comment_3_date,comment_3_text,comment_3_likes,comment_3_dislikes,comment_4_author,comment_4_location,comment_4_date,comment_4_text,comment_4_likes,comment_4_dislikes,comment_5_author,comment_5_location,comment_5_date,comment_5_text,comment_5_likes,comment_5_dislikes,comment_6_author,comment_6_location,comment_6_date,comment_6_text,comment_6_likes,comment_6_dislikes,comment_7_author,comment_7_location,comment_7_date,comment_7_text,comment_7_likes,comment_7_dislikes,comment_8_author,comment_8_location,comment_8_date,comment_8_text,comment_8_likes,comment_8_dislikes,comment_9_author,comment_9_location,comment_9_date,comment_9_text,comment_9_likes,comment_9_dislikes,comment_10_author,comment_10_location,comment_10_date,comment_10_text,comment_10_likes,comment_10_dislikes,comment_11_author,comment_11_location,comment_11_date,comment_11_text,comment_11_likes,comment_11_dislikes,comment_12_author,comment_12_location,comment_12_date,comment_12_text,comment_12_likes,comment_12_dislikes,comment_13_author,comment_13_location,comment_13_date,comment_13_text,comment_13_likes,comment_13_dislikes,comment_14_author,comment_14_location,comment_14_date,comment_14_text,comment_14_likes,comment_14_dislikes,comment_15_author,comment_15_location,comment_15_date,comment_15_text,comment_15_likes,comment_15_dislikes
Diario de Pontevedra,"Luz verde al nuevo contrato de basuras de Marín, que supera los 20,5 millones",https://www.diariodepontevedra.es/articulo/o-morrazo/luz-verde-nuevo-contrato-basuras-marin-que-supera-205-millones/202505221944441392024.html,2025-05-22T19:44:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Foi 'Marín, Vila do Libro' unha digna homenaxe á lingua galega? PP e BNG discrepan",https://www.diariodepontevedra.es/articulo/o-morrazo/marin-vila-do-libro-digna-homenaxe-lingua-galega-pp-bng-discrepa/202505221358221391946.html,2025-05-22T13:58:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,O Marín Peixegalego comeza a traballar no proxecto 2025-26,https://www.diariodepontevedra.es/articulo/deporte-local-pontevedra/marin-peixegalego-prepara-proxecto/202505211935501391860.html,2025-05-21T19:35:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,Las actas de la mejora peatonal del vial EP-1203 se levantarán en junio en el Consistorio de Marín,https://www.diariodepontevedra.es/articulo/o-morrazo/actas-mejora-peatonal-vial-ep-1203-levantaran-junio/202505202223271391706.html,2025-05-20T22:23:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,Xunta y Concello se unirán para aportar los 250.000 euros que requiere equipar el auditorio de Marín,https://www.diariodepontevedra.es/articulo/o-morrazo/xunta-concello-uniran-aportar-250000E-que-requiere-equipar-auditorio/202505202220161391704.html,2025-05-20T22:20:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,La Escuela Naval Militar de Marín cumple con el Camino de Santiago,https://www.diariodepontevedra.es/articulo/o-morrazo/escuela-naval-militar-marin-cumple-camino-santiago/202505200921321391484.html,2025-05-20T09:21:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,El fin de obra del futuro Auditorio de Marín se prorrogará tres meses,https://www.diariodepontevedra.es/articulo/o-morrazo/fin-obra-futuro-auditorio-marin-prorrogara-tres-meses/202505191758191391506.html,2025-05-19T17:58:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,"Papel kilómetro 0 en 'Marín, Vila do Libro'",https://www.diariodepontevedra.es/articulo/o-morrazo/papel-kilometro-marin-vila-do-libro/202505191406141391469.html,2025-05-19T14:06:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,O CEIP de Ardán acolle este domingo o Día das Familias para recadar fondos,https://www.diariodepontevedra.es/articulo/o-morrazo/ceip-ardan-acolle-domingo-dia-das-familias-recadar-fondos/202505172038561391259.html,2025-05-17T20:38:00,1,jairod,,18/05/25 8:10 8:10,Qué guay,1,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
Diario de Pontevedra,Marín premia a Nuria Vil no Día das Letras Galegas,https://www.diariodepontevedra.es/articulo/o-morrazo/marin-premia-nuria-vil-dia-das-letras-galegas/202505171953551391272.html,2025-05-17T19:53:00,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0,,,,,0,0
