source,title,link,date,n_comments,comment_1_author,comment_1_date,comment_1_text,comment_2_author,comment_2_date,comment_2_text,comment_3_author,comment_3_date,comment_3_text,comment_4_author,comment_4_date,comment_4_text,comment_5_author,comment_5_date,comment_5_text,comment_6_author,comment_6_date,comment_6_text,comment_7_author,comment_7_date,comment_7_text,comment_8_author,comment_8_date,comment_8_text,comment_9_author,comment_9_date,comment_9_text,comment_10_author,comment_10_date,comment_10_text,comment_11_author,comment_11_date,comment_11_text,comment_12_author,comment_12_date,comment_12_text,comment_13_author,comment_13_date,comment_13_text,comment_14_author,comment_14_date,comment_14_text,comment_15_author,comment_15_date,comment_15_text
PSOE Marín WordPress,EL PSOE LAMENTA LA NEGATIVA DEL GOBIERNO LOCAL PARA QUE EL COMERCIO MARINENSE DISPONGA DE UN PUNTO DE ENTREGA DE PAQUETERÍA 13/09/2023,https://psdegmarin.wordpress.com/2023/09/16/el-psoe-lamenta-la-negativa-del-gobierno-local-para-que-el-comercio-marinense-disponga-de-un-punto-de-entrega-de-paqueteria-13-09-2023/,2023-09-16T08:57:51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,"O PSOE DE MARIN PROPÓN QUE O ACTUAL MODELO DE ESCOLAS DEPORTIVAS SE AMPLIE OFRECENDO ACTIVIDADES DE ARTE, TECNOLOXIA E NATUREZA 11/09/2023",https://psdegmarin.wordpress.com/2023/09/14/o-psoe-de-marin-propon-que-o-actual-modelo-de-escolas-deportivas-se-amplie-ofrecendo-actividades-de-arte-tecnoloxia-e-natureza-11-09-2023/,2023-09-14T15:34:32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE CRITICA QUE MARÍA RAMALLO SE HAYA SUBIDO SU SALARIO COMO ALCALDESA Y QUE VAYA A COBRAR MÁS DE 100.000€ ANUALES 08/09/2023,https://psdegmarin.wordpress.com/2023/09/09/el-psoe-critica-que-maria-ramallo-se-haya-subido-su-salario-como-alcaldesa-y-que-vaya-a-cobrar-mas-de-100-000e-anuales-08-09-2023/,2023-09-09T07:49:49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE RECLAMA QUE SE REPONGAN LAS PORTERÍAS EN EL PARQUE EGUREN_01/09/2023,https://psdegmarin.wordpress.com/2023/09/07/el-psoe-reclama-que-se-repongan-las-porterias-en-el-parque-eguren_01-09-2023/,2023-09-07T07:21:51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE CONSIDERA QUE LA MALA GESTIÓN DEL GOBIERNO LOCAL HA AGRAVADO EL CONFLICTO ENTRE LAS FIESTAS DE SAN MIGUEL Y SAN MIGUELEIRO_25/08/2023,https://psdegmarin.wordpress.com/2023/08/27/el-psoe-considera-que-la-mala-gestion-del-gobierno-local-ha-agravado-el-conflicto-entre-las-fiestas-de-san-miguel-y-san-migueleiro_25-08-2023/,2023-08-27T10:56:04,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE DE MARIN SOLICITA LA PUESTA A PUNTO DE LAS INSTALACIONES DEPORTIVAS MUNICIPALES APROVECHANDO EL PARÓN VERANIEGO. 14/08/2023,https://psdegmarin.wordpress.com/2023/08/14/el-psoe-de-marin-soliita-la-puesta-a-punto-de-las-instalaciones-deportivas-municipales-aprovechando-el-paron-veraniego-14-08-2023/,2023-08-14T10:30:18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE CONSIDERA DISPARATADO EL COSTE QUE SUPUSO EL CONCIERTO DE ABRAHAM MATEO_12/08/2023,https://psdegmarin.wordpress.com/2023/08/12/el-psoe-considera-disparatado-el-coste-que-supuso-el-concierto-de-abraham-mateo_12-08-2023/,2023-08-12T10:58:46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,O PSOE IMPULSA A POSTA EN MARCHA DUNHA “ESCOLA DE NAIS E PAIS” PARA AXUDAR A ABORDAR OS PROBLEMAS DA INFANCIA E A XUVENTUDE_08/08/2023,https://psdegmarin.wordpress.com/2023/08/12/o-psoe-impulsa-a-posta-en-marcha-dunha-escola-de-nais-e-pais-para-axudar-a-abordar-os-problemas-da-infancia-e-a-xuventude_08-08-2023/,2023-08-12T10:53:44,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,O PSOE FAI BALANCE DAS FESTAS DO CARME E AS CALIFICA DE “REALMENTE MALAS”_ 20 de julio de 2023,https://psdegmarin.wordpress.com/2023/07/23/o-psoe-fai-balance-das-festas-do-carme-e-as-califica-de-realmente-malas_-20-de-julio-de-2023/,2023-07-23T18:45:19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,EL PSOE DE MARÍN CONDENA LOS CÁNTICOS DE LA VERBENA DEL PASADO VIERNES Y ACEPTA LAS DISCULPAS DE LA ORQUESTA_15 de julio de 2023,https://psdegmarin.wordpress.com/2023/07/23/el-psoe-de-marin-condena-los-canticos-de-la-verbena-del-pasado-viernes-y-acepta-las-disculpas-de-la-orquesta_15-de-julio-de-2023/,2023-07-23T18:37:58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSOE Marín WordPress,O PP SÚBESE OS SOLDOS E XA SON O GOBERNO MÁIS CARO DA HISTORIA DE MARÍN _05-07-2023,https://psdegmarin.wordpress.com/2023/07/23/o-pp-subese-os-soldos-e-xa-son-o-goberno-mais-caro-da-historia-de-marin-_05-07-2023/,2023-07-23T18:33:29,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
