source,title,link,date,n_visualizations,summary,year_month,year
Carriola de Marín,"Lucia Santos, portavoz do BNG pregunta polas obras do futuro Auditorio e das  antigas instalacións do Casino - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5665,2023-09-19,620,"Ante os crecentes excesos de gastos e a falta de transparencia nas obras do Centro Cultural e o Antigo Liceo Casino, o BNG amosa a súa preocupación e esixe información detallada ao goberno municipal. Lucía Santos propuxo manter unha reunión coa dirección de obra e técnicos para entender a situación destes proxectos.",2023-09,2023
Carriola de Marín,Un equipo de 25 socorristas ha iniciado el servicio en las playas donde ayer se izaron las banderas azules - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5161,2023-06-24,609,"La alcaldesa María Ramallo con algunas concejalas de su grupo de gobierno, compartieron ayer el momento simbólico izado de bandera azul en la Playa de Portocelo con lo que se pone inicia real a la temporada de verano",2023-06,2023
Carriola de Marín,La caída de un árbol en San Pedro a causa del viento propicia una moción del BNG sobre la prevención necesaria - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6009,2023-11-12,606,"Cuando pensábamos que nos convertiríamos en un desierto con la sequía prolongada, la Naturaleza nos ha devuelto a los tiempos de mi infancia en que desde la Peregrina hasta Junio estábamos continuamente bajo la acción de lluvias, vientos y tormentas.",2023-11,2023
Carriola de Marín,"Desde o BNG solicitamos ao Goberno Local no último Pleno, melloras na organización de eventos - Carriola de Marín",https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5341,2023-07-27,586,NoBNG consideramosque os eventos multitudinarios que se celebran no noso concello poden mellorarse polo ben tanto das persoas que participan dos actos como da veciñanza que vive nas zonas próximas ao lugar de celebración dos mesmos.,2023-07,2023
Carriola de Marín,O BNG apela á preservación das nosas tradicións galegas no día dos defuntos - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5924,2023-10-28,568,O BNG destaca a importancia de preservar as nosas tradicións e manter viva a nosa cultura galega. Cada celebración e cada festividade teñen un significado profundo arraigado na nosa historia e forma de vida.,2023-10,2023
Carriola de Marín,Barbie y Oppenheimer hoy y mañana en el Cine Seixo - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5491,2023-08-21,534,"El Cine Seixo anuncia para hoy miércoles  la proyección de las películas“Barbie”cuya sesión se iniciará a las SEIS DE LA TARDE y“Oppenheimer”que será a las 20,05.",2023-08,2023
Carriola de Marín,O ascenso do BNG nas elecciones do 28M anima ao partido a considerase alternativa do goberno ao PP - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5049,2023-06-01,534,"O BNG reuniu aos seus para valorar os resultados da xornada electoral do 28M na que, a opción nacionalista, recuperou músculo político ao pasar de un representante (Lucía Santos) a catro na nova corporación. Xurxo Agra, responsable local do partido remite a Carriola o segunte comunicado de valoración:",2023-06,2023
Carriola de Marín,O BNG traslada o acto anunciado para hoxe en Seixo se para o próximo venres por motivos de forza maior - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5296,2023-07-18,527,-Tino Iglesias: Concelleiro municipal do BNG de Marín.,2023-07,2023
Carriola de Marín,El BNG insiste en exigir el expediente de la última fiesta corsaria y reclama transparencia de gestión el PP - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5536,2023-08-31,500,Terminada la fiesta corsaria de este año se desató la polémica cuando el BNG acusó al gobierno local del PP de contratar o permitir el contrato de personas para trabajar en el evento sin ningún tipo de contrato. A la alcaldesa María Ramallo no le gustó la acusación y respondió rechazando que hubiera irregularidades y defendiendo la organización de una fiesta multitudinaria que tiene ya un largo historial y un futuro esperanzador.,2023-08,2023
Carriola de Marín,O BNG organiza para mañán mércores un acto público na Alameda con motivo das eleccións do 23 - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5212,2023-07-04,486,"Xurxo Agra, responsabel local do BNg en Marín anuncia nun comunicado  que “Este mércores 5 de xullo, o BNG de Marín organiza un Acto Público Aberto con motivo das vindeiras eleccións xerais, acto que iniciarase ás 20:30h. na Alameda Rosalía de Castro de Marín e no que intervirán:-Carme da Silva: Candidata nº1 do BNG pola provincia de Pontevedra.-Davinia Lojo: Compañeira do BNG de Marín que figura na candidatura do Congreso como suplente.-Lucía Santos: Portavoz municipal do BNG de Marín.",2023-07,2023
Carriola de Marín,El Cine de Seixo incorpora a su cartelera desde hoy viernes la película “Oppenheimer” mientras continúa con “Barbie” - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5420,2023-08-11,484,,2023-08,2023
Carriola de Marín,Queixas do BNG que considera que o goberno local non atende a súas propostas de concienciar sobre uso da auga - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5513,2023-08-26,471,"Esta petición de responsabilidade non foi levada adiante pola equipa de goberno, dando as costas a petición trasladada dende o BNG cun sentido constructivo e de colaboración  e lamentamosos 40 días perdidos por nontelaen conta .”",2023-08,2023
Carriola de Marín,El Cine Seixo mantiene en cartelera Oppenheimer durante dos días más - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5447,2023-08-16,439,,2023-08,2023
Carriola de Marín,El BNG considera que existe falta de inversiones para Marín en los presupuestos de la Xunta de Galicia 2024 - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6176,2023-12-13,424,Ocho enmiendas presento el Bloque a los Presupuestos de la Xunta para el año 2024 considerando que son necesarias para que Marín cuente con los recursos necesarios para su desarrollo.,2023-12,2023
Carriola de Marín,O BNG intensifica a loita contra a Violencia de Xénero e esixe accións á Xunta de Galicia - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/6040,2023-11-18,419,"Nun claro acto de compromiso coa erradicación da violencia de xénero, o Bloque Nacionalista Galego (BNG) insta de maneira contundente á Xunta de Galicia a intensificar os seus esforzos económicos e preventivos na loita contra esta lacra social.",2023-11,2023
Carriola de Marín,Acto público do BNG na nova praza do mercado de Seixo hoxe ás nove da tarde   - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5315,2023-07-21,408,-Tino Iglesias: Concelleiro municipal do BNG de Marín.,2023-07,2023
Carriola de Marín,El BNG ofrece un buzón ciudadano para facilitar la participación ciudadana en la vida municipal - Carriola de Marín,https://www.carriola.es/index.php/noticias-de-marin-by-julio-santos/5188,2023-06-30,388,"La portavoz del Bloque, Lucía Santos Omil,anuncia la creación de un “buzón ciudadano” con el que su partido intensificará la conexión entre ciudadanía y concello trasladando a través de este sistema sus demandas al concello, comentarios o propuestas para mejorar la vida de os marinenses",2023-06,2023
